fiscal_year,High energy exposure,Lower energy exposure,gap_low_minus_high
2009,0.3314081290968356,0.5568650895322687,0.22545696043543306
2010,0.2977351252394652,0.5403711227506199,0.24263599751115472
2011,0.2899030664700857,0.5290189114831048,0.23911584501301908
2012,0.2874886835716029,0.5316547063607102,0.24416602278910732
2013,0.2977047154137014,0.5568929458397018,0.2591882304260004
2014,0.3134857780377135,0.5447226749641922,0.23123689692647875
2015,0.3214312226263826,0.566278775339204,0.24484755271282144
2016,0.31336421278388116,0.5698004852849236,0.2564362725010424
2017,0.3095253877767466,0.5750813056485595,0.26555591787181293
2018,0.30602764224888196,0.5844724965661586,0.27844485431727667
2019,0.3267667537476594,0.5845497503148497,0.2577829965671903
2020,0.3043731100255873,0.5781291548808699,0.2737560448552826
2021,0.3035726648621331,0.5862425000421414,0.2826698351800083
2022,0.30397170720957567,0.5917985321920923,0.28782682498251666
2023,0.3372272005204877,0.5895373766531813,0.2523101761326936
2024,0.3463611859838275,0.5847507695362923,0.23838958355246487
2025,0.3408256469956121,0.5903106129144587,0.24948496591884667
