sector,n_years,margin_change_per_100pct_natgas_change,estimated_margin_change_for_plus10pct_natgas
Energy,16,-0.1632076253773487,-0.01632076253773487
Communication Services,16,-0.039287903792331165,-0.003928790379233117
Consumer Staples,16,-0.028414094163974384,-0.0028414094163974387
Real Estate,15,-0.021640266875814614,-0.0021640266875814613
Utilities,14,-0.020658302628956224,-0.0020658302628956226
Industrials,16,-0.007187948189317489,-0.0007187948189317489
Information Technology,16,0.0013397967943562874,0.00013397967943562874
Materials,16,0.003744740163372089,0.00037447401633720895
Health Care,16,0.01484199698801265,0.0014841996988012652
Consumer Discretionary,16,0.028136907241529365,0.0028136907241529366
Financials,16,0.04415961784242631,0.004415961784242631
